Provincia	Municipio	USD	EUR	MXN
La Habana	Playa	0	0	0
La Habana	Plaza de la Revolución	0	0	0
La Habana	Centro Habana	0	0	0
La Habana	La Habana Vieja	0	0	0
La Habana	Regla	0	0	0
La Habana	La Habana del Este	0	0	0
La Habana	Guanabacoa	0	0	0
La Habana	San Miguel del Padrón	0	0	0
La Habana	Diez de Octubre	0	0	0
La Habana	Cerro	0	0	0
La Habana	Arroyo Naranjo	0	0	0
La Habana	Boyeros	0	0	0
La Habana	Cotorro	0	0	0
La Habana	Marianao	0	0	0
La Habana	La Lisa	0	0	0
Matanzas	Matanzas	0	0	0
Matanzas	Cárdenas	0	0	0
Matanzas	Colón	10	10	230
Matanzas	Jagüey Grande	17	17	391
Matanzas	Jovellanos	9	9	207
Matanzas	Unión de Reyes	7	7	161
Matanzas	Perico	13	13	299
Matanzas	Pedro Betancourt	11	11	253
Matanzas	Limonar	0	0	0
Matanzas	Martí	16	16	368
Matanzas	Los Arabos	20	20	460
Matanzas	Calimete	19	19	437
Matanzas	Ciénaga de Zapata	22	22	506
Santa Clara	Caibarién	8	8	184
Sancti Spíritus	Sancti Spíritus	5	5	115
Sancti Spíritus	Yaguajay	5	5	115
Sancti Spíritus	Taguasco	7	7	161
Ciego de Ávila	Ciego de Ávila	2	2	46
Ciego de Ávila	Baraguá	2	2	46
Ciego de Ávila	Venezuela	2	2	46
Ciego de Ávila	Majagua	6	6	138
Ciego de Ávila	Morón	8	8	184
Ciego de Ávila	Chambas	14	14	322
Ciego de Ávila	Bolivia	12	12	276
Ciego de Ávila	Florencia	18	18	414
Las Tunas	Las Tunas	6	6	138
Las Tunas	Puerto Padre	8	8	184
Las Tunas	Vázquez	8	8	184
Las Tunas	Delicias	8	8	184
Las Tunas	Chaparra	8	8	184
Las Tunas	Manieabon	8	8	184
Holguín 	Holguín 	6	6	138
Holguín 	Sagua de Tánamo	4	4	92
Holguín 	Frank País	4	4	92
Santiago de Cuba	Santiago de Cuba	2	2	46
Santiago de Cuba	Mella	4	4	92
Santiago de Cuba	Guamá	4	4	92
